session_id,session_date,problem_type,problem_complexity,session_duration,engineer_id,engineer_experience,client_experience,client_satisfaction,solution_provided,follow_up_needed
1001,2024-01-05,classification,3,55,E101,3,beginner,4.2,1,0
1002,2024-01-07,regression,4,48,E102,5,intermediate,4.7,1,0
1003,2024-01-08,nlp,3,62,E103,2,beginner,3.9,1,1
1004,2024-01-10,computer_vision,5,45,E104,7,expert,4.8,1,0
1005,2024-01-12,clustering,2,,E105,1,beginner,3.5,0,1
1006,2024-01-15,classification,3,52,E101,4,intermediate,4.5,1,0
1007,2024-01-16,regression,3,50,E102,6,expert,4.3,1,0
1008,2024-01-18,nlp,4,58,E103,2,intermediate,,1,0
1009,2024-01-20,computer_vision,5,47,E104,8,expert,4.7,1,0
1010,2024-01-22,clustering,2,60,E105,3,beginner,3.8,0,1
1011,2024-01-25,classification,4,53,E101,5,intermediate,4.6,1,0
1012,2024-01-26,regression,1,68,E102,1,beginner,3.2,0,1
1013,2024-01-28,nlp,4,51,E103,4,expert,4.7,1,0
1014,2024-01-29,computer_vision,3,49,E104,6,intermediate,4.4,1,0
1015,2024-01-31,clustering,2,63,E105,2,beginner,3.7,0,1
1016,2024-02-02,classification,5,44,E101,9,expert,5.0,1,0
1017,2024-02-03,regression,3,,E102,3,intermediate,4.1,1,0
1018,2024-02-05,nlp,3,54,E103,4,beginner,4.0,1,0
1019,2024-02-07,computer_vision,4,46,E104,7,expert,4.8,1,0
1020,2024-02-08,clustering,2,61,E105,2,beginner,3.8,0,1
1021,2024-02-10,classification,3,55,E101,5,intermediate,,1,0
1022,2024-02-11,regression,4,49,E102,6,expert,4.6,1,0
1023,2024-02-13,nlp,2,63,E103,2,beginner,3.6,0,1
1024,2024-02-15,computer_vision,5,130,E104,8,expert,4.9,1,0
1025,2024-02-16,clustering,3,59,E105,3,intermediate,4.2,1,0