session_id,problem_type,problem_complexity,session_duration,engineer_experience,client_experience,client_satisfaction,solution_provided
1001,classification,3,55,3,beginner,4.2,1
1002,regression,4,48,5,intermediate,4.7,1
1003,nlp,3,62,2,beginner,3.9,1
1004,computer_vision,5,45,7,expert,4.8,1
1005,clustering,2,65,1,beginner,3.5,0
1006,classification,3,52,4,intermediate,4.5,1
1007,regression,3,50,6,expert,4.3,1
1008,nlp,4,58,2,intermediate,4.0,1
1009,computer_vision,5,47,8,expert,4.7,1
1010,clustering,2,60,3,beginner,3.8,0
1011,classification,4,53,5,intermediate,4.6,1
1012,regression,1,68,1,beginner,3.2,0
1013,nlp,4,51,4,expert,4.7,1
1014,computer_vision,3,49,6,intermediate,4.4,1
1015,clustering,2,63,2,beginner,3.7,0
1016,classification,5,44,9,expert,5.0,1
1017,regression,3,57,3,intermediate,4.1,1
1018,nlp,3,54,4,beginner,4.0,1
1019,computer_vision,4,46,7,expert,4.8,1
1020,clustering,2,61,2,beginner,3.8,0
1021,classification,3,55,5,intermediate,4.5,1
1022,regression,4,49,6,expert,4.6,1
1023,nlp,2,63,2,beginner,3.6,0
1024,computer_vision,5,47,8,expert,4.9,1
1025,clustering,3,59,3,intermediate,4.2,1