match_id,engineer_expertise_level,engineer_specialization,client_industry,client_technical_level,problem_domain,communication_quality,solution_completeness,code_quality,documentation_quality,session_efficiency,follow_up_needed,client_retention_probability
3001,3,1,5,2,2,4,3,4,3,85,1,0.72
3002,5,2,3,4,2,5,5,5,4,92,0,0.91
3003,2,3,2,1,3,3,2,3,2,65,1,0.51
3004,5,1,5,3,1,5,4,5,5,88,0,0.87
3005,1,2,4,1,2,2,1,2,1,45,1,0.33
3006,4,3,3,3,3,4,4,4,3,82,0,0.79
3007,5,2,5,4,2,5,5,5,5,95,0,0.93
3008,3,1,2,2,1,3,3,4,2,75,1,0.65
3009,4,3,3,3,3,4,3,4,4,80,0,0.76
3010,2,2,1,1,2,3,2,3,2,60,1,0.48
3011,5,1,5,5,1,5,5,5,5,97,0,0.96
3012,1,3,2,1,3,2,1,2,1,40,1,0.29
3013,4,2,4,3,2,4,4,4,3,84,0,0.81
3014,3,1,3,2,1,4,3,3,3,72,1,0.68
3015,5,3,5,4,3,5,4,5,4,90,0,0.89
3016,2,2,2,1,2,3,2,2,2,55,1,0.42
3017,4,1,4,3,1,4,4,4,3,83,0,0.80
3018,3,3,3,2,3,3,3,3,3,70,1,0.63
3019,5,2,5,4,2,5,4,5,4,91,0,0.90
3020,3,1,4,2,1,4,3,3,3,77,1,0.71