problem_id,problem_complexity,time_constraint_hours,data_size_gb,requires_custom_model,framework_compatibility_issues,domain_expertise_required,previous_attempts,successfully_solved
2001,6,2,1.5,0,0,1,1,1
2002,8,3,4.2,1,1,1,2,1
2003,4,1,0.8,0,0,0,0,1
2004,9,4,10.5,1,1,1,3,0
2005,3,1,0.5,0,0,0,0,1
2006,7,2,3.0,1,0,1,1,1
2007,8,3,5.6,1,1,1,2,0
2008,5,1,1.2,0,1,0,1,1
2009,9,5,12.0,1,1,1,3,0
2010,4,1,0.7,0,0,0,0,1
2011,10,6,15.3,1,1,1,4,0
2012,2,1,0.3,0,0,0,0,1
2013,7,2,2.8,1,0,1,1,1
2014,6,2,2.2,0,1,1,1,1
2015,8,3,6.1,1,1,1,2,0
2016,3,1,0.4,0,0,0,0,1
2017,9,4,11.5,1,1,1,3,0
2018,5,2,1.4,0,1,0,1,1
2019,7,2,3.5,1,0,1,2,1
2020,5,1,1.8,0,0,1,1,1