session_id,problem_complexity,engineer_expertise_level,client_technical_knowledge,session_time_minutes,price_usd,scheduling_notice_days,time_of_day,day_of_week,solution_complete,client_satisfaction,engineer_satisfaction,client_return_rate,platform_profit
S001,high,expert,advanced,65,120,3,morning,tuesday,partial,4.2,4.5,yes,95
S002,medium,intermediate,beginner,55,85,1,afternoon,monday,complete,4.7,4.3,yes,65
S003,low,expert,intermediate,40,75,5,evening,friday,complete,4.9,4.8,yes,60
S004,high,expert,advanced,70,130,2,afternoon,wednesday,complete,4.8,4.6,yes,100
S005,medium,beginner,beginner,60,70,1,morning,monday,partial,3.5,3.8,no,50
S006,high,intermediate,advanced,75,110,4,evening,thursday,partial,3.9,4.2,no,85
S007,low,expert,intermediate,35,80,7,morning,tuesday,complete,4.6,4.7,yes,65
S008,medium,expert,beginner,50,95,3,afternoon,saturday,complete,4.7,4.5,yes,75
S009,high,intermediate,intermediate,80,115,2,evening,friday,partial,4.0,3.9,yes,90
S010,low,beginner,advanced,45,60,1,morning,wednesday,complete,3.8,4.1,no,45
S011,medium,intermediate,advanced,55,90,5,afternoon,thursday,complete,4.5,4.4,yes,70
S012,high,expert,beginner,70,125,2,evening,monday,partial,4.1,4.3,yes,95
S013,low,intermediate,intermediate,40,70,1,morning,saturday,complete,4.4,4.2,yes,55
S014,medium,beginner,advanced,60,75,3,afternoon,friday,partial,3.7,3.9,no,55
S015,high,expert,expert,65,135,4,evening,tuesday,complete,4.9,4.8,yes,110
S016,low,intermediate,beginner,35,65,2,morning,thursday,complete,4.3,4.1,yes,50
S017,medium,expert,intermediate,50,100,6,afternoon,wednesday,complete,4.6,4.5,yes,80
S018,high,intermediate,intermediate,75,105,1,evening,saturday,partial,3.8,4.0,no,80
S019,low,beginner,beginner,45,55,3,morning,friday,partial,3.6,3.7,no,40
S020,medium,expert,advanced,55,105,5,afternoon,monday,complete,4.8,4.7,yes,85
S021,high,expert,expert,60,140,7,evening,wednesday,complete,5.0,4.9,yes,115
S022,low,intermediate,intermediate,40,75,2,morning,thursday,complete,4.5,4.3,yes,60
S023,medium,beginner,advanced,65,80,1,afternoon,tuesday,partial,3.9,4.0,yes,60
S024,high,intermediate,beginner,70,100,4,evening,friday,partial,3.7,3.8,no,75
S025,high,expert,intermediate,60,120,3,morning,saturday,complete,4.7,4.6,yes,95