engineer_id,ml_knowledge,coding_skills,communication,experience_years
E001,9,8,6,7
E002,7,9,8,5
E003,8,7,9,6
E004,6,9,7,3
E005,9,8,5,8
E006,7,6,9,4
E007,8,7,6,5
E008,9,9,7,9
E009,6,7,8,2
E010,8,8,7,6
E011,7,6,9,3
E012,9,7,6,7
E013,8,9,8,5
E014,7,8,7,4
E015,9,6,8,6
E016,8,7,9,5
E017,7,9,6,4
E018,9,8,7,7
E019,6,7,9,2
E020,8,9,6,6
E021,7,8,8,4
E022,9,7,7,8
E023,8,6,9,5
E024,7,9,7,6
E025,9,8,8,9
E026,6,7,9,3
E027,8,9,7,7
E028,7,6,8,4
E029,9,8,6,8
E030,8,7,9,6
E031,6,9,8,4
E032,9,8,7,7
E033,7,6,9,5
E034,8,9,6,6
E035,9,7,8,8
E036,7,8,9,4
E037,8,9,7,5
E038,9,6,8,7
E039,6,8,9,3
E040,8,7,6,6
E041,9,9,8,8
E042,7,8,9,5
E043,8,6,7,6
E044,9,7,8,7
E045,6,9,7,4
E046,8,8,6,6
E047,7,9,8,5
E048,9,7,9,8
E049,8,6,7,6
E050,7,8,6,4