engineer_id,years_experience,education_level,num_languages,certifications,previous_projects,avg_session_length,problem_complexity,solution_quality,client_satisfaction,performance_score
101,2,masters,3,2,5,55,3,4.2,4.5,78
102,5,phd,4,4,12,48,4,4.8,4.7,92
103,3,bachelors,2,1,7,62,2,3.9,4.3,71
104,7,phd,5,5,20,45,5,4.9,4.8,95
105,1,masters,2,0,3,65,2,3.5,3.8,65
106,4,masters,3,3,10,52,4,4.5,4.4,85
107,6,bachelors,4,2,15,50,3,4.3,4.6,83
108,2,phd,3,1,4,58,3,4.0,4.2,76
109,8,masters,5,4,18,47,5,4.7,4.9,94
110,3,bachelors,2,2,8,60,2,3.8,4.0,72
111,5,masters,4,3,13,53,4,4.6,4.5,88
112,1,bachelors,1,0,2,68,1,3.2,3.5,60
113,4,phd,3,4,11,51,4,4.7,4.6,90
114,6,masters,4,3,14,49,3,4.4,4.7,86
115,2,bachelors,2,1,6,63,2,3.7,3.9,70
116,9,phd,5,5,22,44,5,5.0,4.9,98
117,3,masters,3,2,9,57,3,4.1,4.3,79
118,4,bachelors,3,1,10,54,3,4.0,4.2,77
119,7,masters,4,4,16,46,4,4.8,4.8,93
120,2,masters,2,1,5,61,2,3.8,4.1,73