complexity_score,data_volume,iterations_required,documentation_level,tech_stack_complexity,service_hours
3,50,2,1,2,2.5
8,500,8,4,7,12.0
5,150,4,3,4,6.5
2,30,1,1,2,1.5
9,800,10,5,8,18.0
4,120,3,2,3,4.0
7,350,7,4,6,10.5
1,10,1,1,1,1.0
6,250,5,3,5,8.0
10,1000,12,5,9,24.0
5,200,4,2,4,5.5
3,80,2,2,3,3.5
8,600,9,4,7,14.0
2,25,1,1,2,2.0
7,400,6,3,6,9.0
4,100,3,2,3,4.5
9,750,10,5,8,16.0
6,300,5,3,5,7.5
1,15,1,1,1,1.0
10,950,12,5,9,22.0
5,180,4,3,4,6.0
3,70,2,2,3,3.0
8,550,8,4,7,13.0
4,130,3,2,4,5.0
7,380,7,4,6,11.0