session_id,timestamp,problem_category,action,action_duration,memory_usage,success
3001,0,nlp,import_data,5,low,1
3001,1,nlp,preprocess_text,8,medium,1
3001,2,nlp,tokenize_text,6,medium,1
3001,3,nlp,build_model,12,high,1
3001,4,nlp,train_model,15,high,1
3001,5,nlp,evaluate_model,8,medium,1
3002,0,image_processing,import_data,6,low,0
3002,1,image_processing,preprocess_image,10,medium,0
3002,2,image_processing,extract_features,12,high,0
3002,3,image_processing,build_model,15,high,0
3002,4,image_processing,debug_error,20,high,0
3003,0,recommendation,import_data,4,low,1
3003,1,recommendation,normalize_data,7,low,1
3003,2,recommendation,create_embeddings,10,medium,1
3003,3,recommendation,build_model,14,high,1
3003,4,recommendation,train_model,18,high,1
3003,5,recommendation,evaluate_model,9,medium,1
3004,0,forecasting,import_data,5,low,1
3004,1,forecasting,clean_timeseries,8,medium,1
3004,2,forecasting,feature_engineering,12,medium,1
3004,3,forecasting,build_model,15,high,1
3004,4,forecasting,train_model,20,high,1
3004,5,forecasting,evaluate_model,10,medium,1
3005,0,nlp,import_data,6,low,0
3005,1,nlp,preprocess_text,9,medium,0
3005,2,nlp,tokenize_text,7,medium,0
3005,3,nlp,build_model,14,high,0
3005,4,nlp,debug_error,18,high,0
3005,5,nlp,rebuild_model,16,high,0
3006,0,image_processing,import_data,5,low,1
3006,1,image_processing,preprocess_image,9,medium,1
3006,2,image_processing,augment_data,8,medium,1
3006,3,image_processing,build_model,15,high,1
3006,4,image_processing,train_model,18,high,1
3006,5,image_processing,evaluate_model,10,medium,1
3007,0,recommendation,import_data,4,low,0
3007,1,recommendation,normalize_data,6,low,0
3007,2,recommendation,create_embeddings,11,medium,0
3007,3,recommendation,build_model,15,high,0
3007,4,recommendation,debug_error,19,high,0
3008,0,forecasting,import_data,5,low,1
3008,1,forecasting,clean_timeseries,7,medium,1
3008,2,forecasting,feature_engineering,11,medium,1
3008,3,forecasting,build_model,13,high,1
3008,4,forecasting,train_model,17,high,1
3008,5,forecasting,evaluate_model,9,medium,1